"","Accession","HCC1806_Rep1","HCC1806_Rep2","HCC1806_Rep3","HCC1806_Rep4","MCF10A_Rep1","MCF10A_Rep2","MCF10A_Rep3","MCF10A_Rep4","MCF7_Rep1","MCF7_Rep2","MCF7_Rep3","MCF7_Rep4","MDAMB231_Rep1","MDAMB231_Rep2","MDAMB231_Rep3","MDAMB231_Rep4","Description","hcc1806_mean","hcc1806_sd","mcf7_mean","mcf7_sd","mdam_mean","mdam_sd","mcf10a_mean","mcf10a_sd","mcf10_fc_mdamb231","mcf10_fc_mcf7","mcf10_fc_hcc","fc_mdamb_v_mcf7","fc_mdamb_v_hcc","fc_mdamb_v_mcf10","fc_mcf7_v_hcc","fc_mcf7_v_mcf10","fc_hcc_v_mcf10","MCF10A-HCC1806","MCF7-HCC1806","MDAMB231-HCC1806","MCF7-MCF10A","MDAMB231-MCF10A","MDAMB231-MCF7","p.t_mdam_mcf7","p.t_mdam_hcc","p.t_mdam_mcf10","p.t_mcf7_hcc","p.t_mcf7_mcf10","p.t_hcc_mcf10"
"406","Q13404",7121.6,8173,7863.9,8057.9,4572.9,4487.2,5462.1,4727.4,9216.2,8339.8,11213.6,10784.3,7591.4,8215.4,8526.1,5218.1,"Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=1 SV=2",7804.1,472.540629646453,9888.475,1342.73435291572,7387.75,1497.74271154962,4812.4,444.391111522271,1.53514878231236,2.05479074889868,1.62166486576344,0.747107112067331,0.946649837905716,1.53514878231236,1.26708717212747,2.05479074889868,1.62166486576344,0.00820917010294875,0.0680216120713456,0.942785348044745,9.82401362356056e-05,0.0217422385613973,0.025900461100528,"Up in MCF7","ns","Up in MDAMB231","ns","Up in MCF7","Up in HCC1806"
"407","O95168",1275.2,1308.7,1305.4,1011.2,2428.4,1566,2389.2,2255.6,2002.8,1521.9,2048.6,2047.7,1585.3,1466.5,1162.7,1718.9,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3",1225.125,143.41114264008,1905.25,256.459515973444,1483.35,237.330957385111,2159.8,402.718429344043,0.686799703676266,0.882141864987499,0.56724002222428,0.778559244193675,1.21077441077441,0.686799703676266,1.55514743393531,0.882141864987499,0.56724002222428,0.002156889463235,0.0203537269938975,0.566821697554816,0.577725590225353,0.0210367761850667,0.189362723726675,"ns","ns","Up in MCF10A","Up in MCF7","ns","Up in MCF10A"
"408","Q9UK61",291.1,329.4,297,481.2,595.1,712.5,674.4,554.6,560.6,586.4,485.9,563.9,678.6,510.3,865.2,809.2,"Protein TASOR OS=Homo sapiens OX=9606 GN=TASOR PE=1 SV=3",349.675,89.2852871418354,549.2,43.7293951478865,715.825,157.752979369646,634.15,72.1385010471754,1.12879444926279,0.866041157454861,0.551407395726563,1.30339584850692,2.04711517837992,1.12879444926279,1.57060127261028,0.866041157454861,0.551407395726563,0.00791912804305395,0.0642790704783338,0.00113364199704458,0.637310879690225,0.664273020804926,0.139256864879364,"ns","Up in MDAMB231","ns","ns","ns","Up in MCF10A"
"409","Q13200",23116.6,23429.3,26279.8,16545.6,12781.9,10974.5,14554.1,13905.1,12263.4,12813,14769,13194.7,14445.8,16253.1,12518.3,10443.5,"26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3",22342.825,4118.52504049285,13260.025,1076.16071406644,13415.175,2500.08288312608,13053.9,1567.69787055202,1.0276756371659,1.01579030021679,1.71158236235914,1.01170058125833,0.600424297285594,1.0276756371659,0.593480233587293,1.01579030021679,1.71158236235914,0.00134991355466552,0.00162331079848577,0.00186688234228594,0.999459759773957,0.997126647159361,0.999769024334809,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"410","O15254",22.3,11.4,16.1,27.7,53.5,53.7,45.3,44.6,25.2,31.1,51.6,40.6,38.3,28.5,44.9,0.1,"Peroxisomal acyl-coenzyme A oxidase 3 OS=Homo sapiens OX=9606 GN=ACOX3 PE=1 SV=2",19.375,7.1224410609472,37.125,11.5485569084049,27.95,19.751371260413,49.275,5.0029158164681,0.567224759005581,0.753424657534246,0.393201420598681,0.752861952861953,1.44258064516129,0.567224759005581,1.91612903225806,0.753424657534246,0.393201420598681,0.0214300129525653,0.223717471285585,0.757343337663939,0.520456135095261,0.117166271703754,0.718909339374471,"ns","ns","ns","ns","ns","Up in MCF10A"
"411","Q96T60",1748,1592.5,1610.1,2193.4,967.1,1252.6,1215.3,1011,1472.1,1596.2,1387.6,1622.8,1767.6,1829.1,1980.5,2648.1,"Bifunctional polynucleotide phosphatase/kinase OS=Homo sapiens OX=9606 GN=PNKP PE=1 SV=1",1786,280.357997329605,1519.675,109.84538755299,2056.325,404.532820052959,1111.5,143.335573625903,1.85004498425551,1.36722896986055,1.60683760683761,1.35313471630447,1.15135778275476,1.85004498425551,0.850881858902576,1.36722896986055,1.60683760683761,0.0155165679631393,0.501932412716734,0.489943494287123,0.177823655371508,0.00129615054114618,0.0567642569018946,"ns","ns","Up in MDAMB231","ns","ns","Up in HCC1806"
"412","P48047",9945.1,6985.4,7335.9,6653.7,12380.5,11219.2,12353.3,18951.7,11642.3,10142.4,10504.5,10817.4,7722.4,5770.7,6368.4,7710.3,"ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1",7730.025,1502.75676314122,10776.65,639.622068099593,6892.95,981.605163325187,13726.175,3525.46271892074,0.502175587882276,0.785116756853238,0.563159438080893,0.639618991059374,0.891711216975366,0.502175587882276,1.39412873826411,0.785116756853238,0.563159438080893,0.00553205745194907,0.192584637503972,0.932948145023156,0.213645017289532,0.00203598469900734,0.0738439441811548,"ns","ns","Up in MCF10A","ns","ns","Up in MCF10A"
"413","Q92616",25725.1,26492.3,26955.2,25825.7,22679.4,23675.9,21868.6,21729.4,25189.4,24831.5,26134.5,26512.5,25836.7,23088,24219.2,21695.9,"eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7",26249.575,580.679517892615,25666.975,787.313683250415,23709.95,1753.62674952986,22488.325,895.706474893794,1.05432263185453,1.14134667655328,1.16725345262486,0.923753188679227,0.903250814536997,1.05432263185453,0.977805354943842,1.14134667655328,1.16725345262486,0.00198406325341915,0.875178482675611,0.0297774718899038,0.00708112488223944,0.429204002491758,0.107320966607509,"ns","ns","ns","ns","ns","ns"
"414","O00154",15995.1,12720.9,11848.3,15665,9806.8,10493.9,8577.9,10202.3,7806.3,7975.6,7510.7,8175.6,10546.1,8865.1,11734.4,9999,"Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3",14057.325,2082.09942826145,7867.05,281.461714388772,10286.15,1192.59385235153,9770.225,843.281476831234,1.05280584633414,0.80520663546643,1.43879235125087,1.30749772786496,0.731728831765645,1.05280584633414,0.559640614412771,0.80520663546643,1.43879235125087,0.00234205890842698,9.16416982071899e-05,0.00617202475790857,0.206711573675039,0.939056912927406,0.0827041745691403,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"415","O43324",1608.2,1085.8,1598.6,1261.9,671.7,848.8,957.7,771.6,814.2,938.8,1015.4,982.5,1092.3,728.8,1009,938.7,"Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1",1388.625,258.240771051616,937.725,88.1245094548995,942.2,155.503547655137,812.45,120.96579406317,1.15970213551603,1.15419410425257,1.70918210351406,1.00477218800821,0.678512917454316,1.15970213551603,0.67529030515798,1.15419410425257,1.70918210351406,0.0019714117107088,0.0119241146037929,0.0127344179774874,0.723010017069971,0.701704313452,0.999979742143257,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"416","P23786",1400.6,1412.1,1368,1196.6,2002.8,1747.4,2191.8,2105.5,1722.8,1924.9,1941.6,2015.4,1700.8,1465,1617.5,2286.5,"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=CPT2 PE=1 SV=2",1344.325,100.238893815392,1901.175,125.249148367031,1767.45,359.544216103296,2011.875,192.499374457858,0.878508853681268,0.94497670083877,0.668195091643367,0.929661919602351,1.31474903762111,0.878508853681268,1.41422275119484,0.94497670083877,0.668195091643367,0.0048529850454081,0.0167914510675943,0.075138053705964,0.889465170839966,0.426073966963078,0.823466681336552,"ns","ns","ns","Up in MCF7","ns","Up in MCF10A"
"417","Q93009",6347.3,7225.6,7275.7,7952.8,5166.6,5812.8,5830.2,5503.7,6932.7,8064.4,7924.9,8173.7,5696.2,5194.5,6124.1,5916.6,"Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2",7200.35,658.328816018257,7773.925,569.985007843774,5732.85,399.167704939499,5578.325,312.786352803315,1.02770096758436,1.39359485150112,1.29077276781113,0.737446013435941,0.796190462963606,1.02770096758436,1.07965932211629,1.39359485150112,1.29077276781113,0.00320130662439067,0.409453240712072,0.00672202707274883,0.000245531524089126,0.971489660460693,0.000474962170156967,"Up in MCF7","Up in HCC1806","ns","ns","Up in MCF7","Up in HCC1806"
"418","Q9Y4I1",195.4,220.7,183,249.5,361.8,328.7,339,268.6,377.7,369,514.8,433,304,320.3,312.8,360.8,"Unconventional myosin-Va OS=Homo sapiens OX=9606 GN=MYO5A PE=1 SV=2",212.15,29.4301999087106,423.625,67.0665527666362,324.475,25.1161800439478,324.525,39.7659297221461,0.999845928664972,1.30536938602573,0.653724674524305,0.765948657421068,1.52946028753241,0.999845928664972,1.9968182889465,1.30536938602573,0.653724674524305,0.0151744332623289,8.79181360323722e-05,0.0152176835126467,0.0323057294363773,0.999999998365459,0.0322141913417496,"Up in MCF7","Up in MDAMB231","ns","Up in MCF7","Up in MCF7","Up in MCF10A"
"419","Q8TEW0",341.4,302.7,291.6,289.4,473.1,545.3,464.3,424,343.6,361.7,352.8,394.7,555.5,373.7,438.6,605.1,"Partitioning defective 3 homolog OS=Homo sapiens OX=9606 GN=PARD3 PE=1 SV=2",306.275,24.1292871838353,363.2,22.2622251059203,493.225,105.931278824214,476.675,50.4974174257127,1.03471967273299,0.761944721246132,0.642523732102586,1.35799834801762,1.61039915108971,1.03471967273299,1.18586237858134,0.761944721246132,0.642523732102586,0.00893141294872757,0.567714275144197,0.00460232667982263,0.0884573538599728,0.979823422048943,0.0459305437731479,"Up in MDAMB231","Up in MDAMB231","ns","ns","ns","Up in MCF10A"
"420","Q92614",3692.6,3440.6,3462.8,3528.7,2567,2800.7,2459.3,2578.2,3963.4,4267.6,4068.8,3952.1,5810.1,5654.7,4866.8,4033.5,"Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3",3531.175,113.934378042801,4062.975,146.189109831524,5091.275,817.197260457963,2601.3,143.334643404866,1.95720409026256,1.56190174143697,1.35746549802022,1.25309040789077,1.44180761361303,1.95720409026256,1.15060142870291,1.56190174143697,1.35746549802022,0.0402730049086886,0.333339023319701,0.00111407831274291,0.00190433500885379,1.36305646601942e-05,0.0227259479410781,"Up in MDAMB231","Up in MDAMB231","Up in MDAMB231","ns","Up in MCF7","Up in HCC1806"
"421","Q16543",22974.2,24373.1,25072.6,20978.7,12920.7,14808.3,14145.9,14068.9,18554.1,17916.9,21644.8,19627.9,16731.8,19250.5,16529.5,10187.1,"Hsp90 co-chaperone Cdc37 OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1",23349.65,1805.39683634005,19435.925,1633.09883835405,15674.725,3862.1342479472,13985.95,783.896632216264,1.12074796492194,1.3896749952631,1.66950761299733,0.806482068643504,0.67130449492819,1.12074796492194,0.832386138550257,1.3896749952631,1.66950761299733,0.000483450125926765,0.132161282472652,0.00255662504835386,0.026768869022574,0.735118350711366,0.153362645650898,"ns","Up in HCC1806","ns","ns","Up in MCF7","Up in HCC1806"
"422","Q9BS40",13.5,10.1,18.2,68.5,116.2,92.6,192.6,108.1,1276.3,806.5,1622.6,1389,107.7,201,99.6,0.1,"Latexin OS=Homo sapiens OX=9606 GN=LXN PE=1 SV=2",27.575,27.4847078694074,1273.6,343.17530019899,102.1,82.1032277075634,127.375,44.5720671123369,0.801570166830226,9.99882237487733,0.21648675171737,0.0801664572864322,3.7026291931097,0.801570166830226,46.1867633726201,9.99882237487733,0.21648675171737,0.857029900632513,2.1405409652564e-06,0.932916857986099,5.19980389013242e-06,0.996989816893022,4.13034489143982e-06,"Up in MCF7","ns","ns","Up in MCF7","Up in MCF7","ns"
"423","P54136",19430.4,18420.9,18814.8,16716.4,24230.3,22173.3,23543.1,25042,18021.4,17160.8,21001.5,19368.3,20007.4,23552.6,18800.6,19813.4,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2",18345.625,1162.88469011334,18888,1676.48299921791,20543.5,2074.67527097616,23747.175,1215.00489265133,0.865092374145556,0.795378818743703,0.772539259933024,1.08764824227022,1.11980376792832,0.865092374145556,1.02956426941028,0.795378818743703,0.772539259933024,0.00196229754364785,0.960639148914427,0.251393798524131,0.00445337004713064,0.0589102551913544,0.475363477188115,"ns","ns","ns","ns","Up in MCF10A","Up in MCF10A"
"424","Q9NUQ8",7180.5,7610.3,8484.3,7080.7,5619.8,5671.6,5132.2,5282.1,8430,9582.8,6484.7,8246.1,6362.7,6416.8,7021.1,7295.6,"ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2",7588.95,639.598027409925,8185.9,1279.14292920429,6774.05,458.21555698892,5426.425,261.344426316435,1.24834490479459,1.50852541037608,1.39851744011942,0.827526600618136,0.892620191199046,1.24834490479459,1.07866042074332,1.50852541037608,1.39851744011942,0.00808230442568336,0.691846736626464,0.460645535193857,0.00124858014767204,0.110346712918708,0.0905719525278562,"ns","ns","ns","ns","Up in MCF7","Up in HCC1806"
"425","P29034",12213.2,9375.8,13023,8481.9,20317.1,21969.5,43109.2,21364.6,5127.8,4840.7,2977.8,5546.6,4047.2,3049.8,4424.5,3722.1,"Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3",10773.475,2186.16728450348,4623.225,1134.59774479769,3810.9,582.952628149721,26690.1,10967.3300977646,0.142783279193409,0.173218721548439,0.403650604531268,0.824294729328553,0.353729878242628,0.142783279193409,0.429130340953128,0.173218721548439,0.403650604531268,0.00826594933011437,0.44281560694196,0.342220572997849,0.00063275540155816,0.000460214255826652,0.996820965035386,"ns","ns","Up in MCF10A","ns","Up in MCF10A","Up in MCF10A"
"426","O76003",14566.8,24101.2,19830.6,12612.5,7607.8,8887.2,10978.3,8550.9,7680,8128.7,8348.6,7241.5,7425.6,10225.5,9381.9,12200.4,"Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2",17777.775,5202.25016979832,7849.7,491.747746986874,9808.35,1979.50115685745,9006.05,1421.98921350808,1.08908455982367,0.871602977998123,1.97398137918399,1.24951908990152,0.551719773706215,1.08908455982367,0.441545693991515,0.871602977998123,1.97398137918399,0.00489807698885913,0.00188226921932311,0.00967251795744006,0.939933336698689,0.978374560117281,0.773479510900653,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"427","Q9UJY5",890.2,870,841.4,1083,659.2,642.6,693.7,767.9,894,798.6,814,884.5,1204.7,1114.7,1219.4,1016.7,"ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1",921.15,109.741681537448,847.775,48.4575673484889,1138.875,93.6809612461357,690.85,55.601588706319,1.64851270174423,1.22714771658102,1.33335745820366,1.34336940815665,1.23636215600065,1.64851270174423,0.920344135048581,1.22714771658102,1.33335745820366,0.00798304592530497,0.591255077125121,0.0116999799174907,0.0740988445056207,2.4529952904695e-05,0.00133111881840053,"Up in MDAMB231","Up in MDAMB231","Up in MDAMB231","ns","ns","Up in HCC1806"
"428","P17980",16796.3,18080.8,17411.9,18667.8,13483.1,13440.5,13752.6,13507.1,14955,15735.7,15904.3,15337,15721.2,14907.5,18121.1,20952.3,"26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3",17739.2,811.413215733307,15483,424.833685105125,17425.525,2718.2800988554,13545.825,140.57418859805,1.28641297226267,1.14300900831068,1.30956955371858,1.1254617968094,0.982317410029765,1.28641297226267,0.872812753675476,1.14300900831068,1.30956955371858,0.00659646780619771,0.172396612639013,0.989251688407474,0.275368193441756,0.0112838304572487,0.273318013838352,"ns","ns","Up in MDAMB231","ns","ns","Up in HCC1806"
"429","Q00796",7400.9,4612,5760.6,6421.9,3780.4,3682.3,3240.4,4567,3224.2,3457.5,3626.4,3435.6,2631.1,2213,2907.6,2599.4,"Sorbitol dehydrogenase OS=Homo sapiens OX=9606 GN=SORD PE=1 SV=4",6048.85,1171.15775908571,3435.925,164.897733459257,2587.775,285.631771983907,3817.525,552.102076159835,0.677867204536971,0.900039947348085,1.58449518994637,0.753152353441941,0.4278127247328,0.677867204536971,0.568029460145317,0.900039947348085,1.58449518994637,0.00240244439857984,0.00064673234200463,4.70264940189979e-05,0.84957223399699,0.0930962331146639,0.321815458712381,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"430","Q7Z5K2",784.7,924.7,885.4,845.7,550.8,586.8,727,612,690.1,673.8,683.8,718.4,832.8,883.6,838.5,641.6,"Wings apart-like protein homolog OS=Homo sapiens OX=9606 GN=WAPL PE=1 SV=1",860.125,59.7376695784717,691.525,19.1324114179751,799.125,107.446959783265,619.15,76.1598975839647,1.29068077202616,1.11689412904789,1.38920293951385,1.15559813455768,0.929080075570411,1.29068077202616,0.803981979363465,1.11689412904789,1.38920293951385,0.00261743884726207,0.0296671928369012,0.64839639983062,0.520766247598641,0.0201598198262588,0.212193321431512,"ns","ns","Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806"
"431","P13798",4158.6,4028,3714.9,2837.6,7529.9,6224.6,6504.5,7464,6619.9,6150.3,7770.5,7930.7,4617.2,7339.8,3644.2,4039.7,"Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4",3684.775,594.67821200489,7117.85,870.016158853769,4910.225,1668.26570700433,6930.75,664.247235598312,0.708469501857663,1.02699563539299,0.531656025682646,0.689846653132617,1.33257118820009,0.708469501857663,1.93169189434904,1.02699563539299,0.531656025682646,0.0040815892302275,0.00265521962435944,0.382193260073456,0.993927889730952,0.0733718811190903,0.0474636981868917,"Up in MCF7","ns","ns","Up in MCF7","ns","Up in MCF10A"
"432","Q92556",143.4,220.5,177,77.4,18.2,51.5,47.3,32.1,58.8,0.1,32,42,56.6,97.6,58.6,0.1,"Engulfment and cell motility protein 1 OS=Homo sapiens OX=9606 GN=ELMO1 PE=1 SV=2",154.575,60.3596098396933,33.225,24.6971489582637,53.225,40.1318140631594,37.275,15.2040290712692,1.42790073775989,0.891348088531187,4.14688128772636,1.60195635816403,0.344331230794113,1.42790073775989,0.214944201843765,0.891348088531187,4.14688128772636,0.00536643990838581,0.00417439860255209,0.0146471694442295,0.998808210714865,0.936837855874881,0.88541181246929,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"433","Q9Y2Q9",4150.8,3917.6,4112,3882,6205.2,5757.7,5776.4,5978.9,4991.7,5298.7,5247.9,4783.1,4567.6,3396.4,3998.1,5804.4,"28S ribosomal protein S28, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS28 PE=1 SV=1",4015.6,135.431360228469,5080.35,239.420209394835,4441.625,1026.68319156073,5929.55,209.289026627453,0.749066118002209,0.856785084871533,0.677218338659763,0.874275394411802,1.10609248929176,0.749066118002209,1.26515340173324,0.856785084871533,0.677218338659763,0.00152666700028103,0.0691232113318764,0.689170649752423,0.173705155690415,0.0100940121224795,0.38077727775212,"ns","ns","Up in MCF10A","ns","ns","Up in MCF10A"
"434","Q9BUP3",6445.7,5328.2,5632.7,10452.6,3506.7,4096.8,2557.2,3173.4,5586.8,6067.7,4797.5,5318.3,2974.8,2192.1,3457.5,2250.3,"Oxidoreductase HTATIP2 OS=Homo sapiens OX=9606 GN=HTATIP2 PE=1 SV=2",6964.8,2372.56286323461,5442.575,530.140908155558,2718.675,607.760579916138,3333.525,643.143018698019,0.815555605552681,1.63267862097929,2.08931986410781,0.49951998824086,0.390345020675396,0.815555605552681,0.78144024236159,1.63267862097929,2.08931986410781,0.00870368604683369,0.382456429896153,0.00275325344725508,0.151150106316989,0.905579819614982,0.0492219893025051,"Up in MCF7","Up in HCC1806","ns","ns","ns","Up in HCC1806"
"435","Q96HC4",5128.6,5690.2,6010.1,5226.4,6651,6783.1,8205.6,6327,3686.9,3878.6,3898.5,3669.6,6404,6747.8,6354.5,6788.9,"PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5",5513.825,411.666712887987,3783.4,121.893040545116,6573.8,226.177319817881,6991.675,831.658933998788,0.940232490783682,0.541129271598008,0.78862718876378,1.73753766453455,1.19223950705726,0.940232490783682,0.686166136937607,0.541129271598008,0.78862718876378,0.00458783350917125,0.00132662484860335,0.0389054753234516,3.54246861333785e-06,0.622296050645397,1.52021423371895e-05,"Up in MDAMB231","ns","ns","Up in HCC1806","Up in MCF10A","Up in MCF10A"
"436","P13995",5185.1,4539.4,4490.8,4780.6,3475.7,3179.9,3049,3370.6,3087.2,3188.6,3203.3,3365.5,1858.7,1466.6,2127.5,2381.3,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2",4748.975,317.165134433153,3211.15,115.11972029153,1958.525,391.25715648407,3268.8,190.950342585012,0.599157183064121,0.982363558492413,1.45281907733725,0.609913893776373,0.412410046378429,0.599157183064121,0.676177490932254,0.982363558492413,1.45281907733725,3.26458187999146e-05,2.22223429486856e-05,3.41951025273346e-08,0.990508035162463,0.000107685926755918,0.000164925034008778,"Up in MCF7","Up in HCC1806","Up in MCF10A","Up in HCC1806","ns","Up in HCC1806"
"437","Q96B97",683.5,916.8,785.4,664,1101.7,1557.7,1397.6,1066.6,603.1,674,653.1,651.2,2242.5,1833.9,2445.9,1550.9,"SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=2",762.425,115.867924091758,645.35,30.0009444295787,2018.3,402.315597510213,1280.9,236.836272559758,1.57568896869389,0.503825435240846,0.595226012959638,3.12745022081041,2.64721120110175,1.57568896869389,0.846443912515985,0.503825435240846,0.595226012959638,0.043999740683347,0.900049039265126,4.43451780739457e-05,0.0132323192102736,0.00469526484595617,1.81099611248348e-05,"Up in MDAMB231","Up in MDAMB231","Up in MDAMB231","ns","Up in MCF10A","Up in MCF10A"
"438","Q9BUP0",327.2,168.8,243.3,301.6,442.7,474.5,538.7,496.7,557.5,636.2,588.2,538.6,588.7,449.7,649.7,827.1,"EF-hand domain-containing protein D1 OS=Homo sapiens OX=9606 GN=EFHD1 PE=1 SV=1",260.225,70.3385325882384,580.125,42.6060539516784,628.8,156.465672486545,488.15,40.3337327803912,1.28812864898085,1.1884154460719,0.5330840930042,1.08390433096315,2.41637044865021,1.28812864898085,2.22932078009415,1.1884154460719,0.5330840930042,0.0179518828081218,0.00154328809663584,0.000459771345098225,0.503030167808186,0.180008189860172,0.870982959731328,"ns","Up in MDAMB231","ns","Up in MCF7","ns","Up in MCF10A"
"439","Q96GD4",416.4,421.7,420.3,360.9,260.4,194.8,312.5,227.2,231.8,279.1,252.5,290.5,315.6,378.8,284.9,442.7,"Aurora kinase B OS=Homo sapiens OX=9606 GN=AURKB PE=1 SV=3",404.825,29.3690738703147,263.475,26.4464710941429,355.5,70.0549784098175,248.725,50.2486732826516,1.42928937581666,1.05930244245653,1.62760076389587,1.34927412467976,0.878157228432038,1.42928937581666,0.650836781325264,1.05930244245653,1.62760076389587,0.00269284967172456,0.00569137474895876,0.48298018066159,0.970328655516548,0.0343947414960304,0.0734184422402764,"ns","ns","Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806"
"440","Q9UKV8",1700.4,1642.9,1770.1,1530,983,1328.4,1345.4,1105.5,1369.6,1647.9,1523.8,1422.3,1309.5,1179.3,1359.8,1506.6,"Protein argonaute-2 OS=Homo sapiens OX=9606 GN=AGO2 PE=1 SV=3",1660.85,101.560638700893,1490.9,122.679881534559,1338.8,135.273278957819,1190.575,176.344026928426,1.12449866661067,1.25225206307876,1.39499821514814,0.89798108525052,0.806093265496583,1.12449866661067,0.897672878345426,1.25225206307876,1.39499821514814,0.00189921550144201,0.338412095839659,0.0265983008913586,0.0393779104637491,0.449280121108449,0.428203529132466,"ns","Up in HCC1806","ns","ns","Up in MCF7","Up in HCC1806"
"441","Q15291",703.8,892.2,909.9,489,1351.4,1141.4,1163.2,1530.1,838.1,777.6,945.1,858.1,1493.6,1301,1293.2,1108.9,"Retinoblastoma-binding protein 5 OS=Homo sapiens OX=9606 GN=RBBP5 PE=1 SV=2",748.725,196.670441347957,854.725,69.2909024812541,1299.175,157.10366800301,1296.525,182.03284273266,1.0020439251075,0.659242976417732,0.577485972117776,1.51999181023136,1.73518314467929,1.0020439251075,1.14157400914889,0.659242976417732,0.577485972117776,0.00188841949700802,0.783425167137844,0.00181625667705632,0.00939309643566344,0.999995023910182,0.00901591148938208,"Up in MDAMB231","Up in MDAMB231","ns","ns","Up in MCF10A","Up in MCF10A"
"442","P09525",6969.8,5506.5,5671.5,11705.7,21993.8,27605.3,12830.3,20485.8,23518.6,27533.2,15708.5,22447.9,18749.4,11200.9,21329.1,25477.5,"Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4",7463.375,2902.93606930983,22302.05,4910.57016546958,19189.225,6003.56143822148,20728.8,6091.84779028498,0.925727731465401,1.07589681988345,0.360048579753773,0.86042426593071,2.57111896427555,0.925727731465401,2.98819903863869,1.07589681988345,0.360048579753773,0.0152299201203669,0.00716171957319522,0.0319843443463619,0.971655826396054,0.97334139971365,0.826700613848694,"ns","Up in MDAMB231","ns","Up in MCF7","ns","Up in MCF10A"
"443","Q15020",4526.4,3839.4,4032.4,3610.3,2802.7,2577.3,3071.6,3426,4251.3,4133.5,4545.1,4383.9,3955.5,3364.7,3567.2,3183.8,"Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens OX=9606 GN=SART3 PE=1 SV=1",4002.125,389.780753544007,4328.45,176.983567975486,3517.8,331.168265387854,2969.4,365.358134802917,1.1846837744999,1.45768505421971,1.34778911564626,0.812715868266931,0.878983040259862,1.1846837744999,1.08153793297311,1.45768505421971,1.34778911564626,0.00366331128684749,0.515035682150195,0.208543637174332,0.000372619533869245,0.135257676980893,0.0194075824824038,"Up in MCF7","ns","ns","ns","Up in MCF7","Up in HCC1806"
"444","P13797",31227.9,39913.7,37528.8,27317.2,18690.2,17792.6,23085.3,18816.2,6562.5,7876.3,6039.1,6880.7,20456.2,28608.1,22433.1,16007.3,"Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4",33996.9,5766.81867641654,6839.65,773.309069303255,21876.175,5230.96557139948,19596.075,2370.37463336495,1.11635493332211,0.34903163005857,1.73488313348464,3.19843486143297,0.643475581597146,1.11635493332211,0.201184519765037,0.34903163005857,1.73488313348464,0.00156451516101164,3.65844984284713e-06,0.00591200863472086,0.0040556200373475,0.858124129724193,0.00109333165405712,"Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806","Up in MCF10A","Up in HCC1806"
